gGJBY5fJha0Let8I	WF-30 Payment Pending Intent Filter	true
du32QBZbSQOjfESe	WF-40 User -> Admin Relay	true
MUG7rPgSHc7UtAE9	WF-45 Rebook Handler	true
LgIDj1v4ZbCPlX25	WF-20 Keyword Handler	true
emUOLWVZiNVxcOe3	WF-32 Payment Confirmation Receiver	true
tKjwTYF6EER8ED3y	WF-26 Re-Engaged Opted-Out User Handler	false
hYGNM97sXvdo1WmI	WF-01 Message Router	true
se82n3MUQ9xE5aEr	WF-34 Payment Rejection Processor	true
Du2CJ3OTohRFZYoA	WF-44 Feedback Recorder	true
JQu1MkK5vgtUCeNO	WF-00 Webhook Receiver	true
PubCsNTOspF3xqXZ	WF-02 User State Router	true
6H75p935FpBVBQtV	WF-60 Message Logger	true
6PzJRZsF7k2d9hV7	WF-41 Admin -> User Relay	true
VpCER0Vqq3NYJGpI	WF-23 Pre-Form Intent Filter	true
zM8WbxSdt9nXRoLZ	WF-21 New User Welcome + Form	true
IO5BZLUxuVmjzk5I	WF-52 Slack Channel Manager	true
NcHZedq9ycnAQ9SW	WF-33 Payment Approval Processor	true
HB8nXudAtk9iXz7C	WF-31 Payment Submitted Handler	true
UV62An60fzflU0uD	WF-46 User Blocker	true
wlZRK0YxnhP0b2RL	WF-51 Send Slack Message	true
3va0M06kijgyLejf	WF-43 Post-Consultation Handler	true
dr8QM0m92Ml8MvIh	WF-22 Form Response Handler	true
wMh0oBRtJbvhLgOf	WF-10 Slack Admin Handler	true
BUVun38WEKb12zg9	WF-50 Send WhatsApp	true
eTV1lUcYrXBg2q2T	WF-25 Intent Classifier	true
fx70vqyJtRdF2DgR	WF-42 Consultation Closer	true
GoTYo0GS2y8qjjkw	WF-11 Command Parser	true
2U7mxHMyqA41ROKX	WF-47 Unsubscribe Handler	true
